state,city,population,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society
Arkansas,Murfreesboro,"1,437",98,13,40,45
Arkansas,Nashville,"4,083",408,62,183,163
Arkansas,Norfork,473,7,0,1,6
Arkansas,North Little Rock,"63,663","7,650","1,922","4,478","1,250"
Arkansas,Ola,926,58,8,11,39
Arkansas,Osceola,"6,621",586,230,314,42
Arkansas,Ozark,"3,575",248,81,97,70
Arkansas,Paragould,"30,296","3,483","1,081","1,948",454
Arkansas,Paris,"3,221",223,76,103,44
Arkansas,Patterson,299,10,0,9,1
Arkansas,Pea Ridge,"7,643",357,80,129,148
Arkansas,Perryville,"1,383",147,12,77,58
Arkansas,Piggott,"3,532",164,47,82,35
Arkansas,Pine Bluff,"39,549","5,488","1,918","3,272",298
Arkansas,Plumerville,736,35,3,21,11
Arkansas,Pocahontas,"7,657",543,164,273,106
Arkansas,Pottsville,"3,232",209,34,52,123
Arkansas,Prairie Grove,"7,714",284,93,119,72
Arkansas,Prescott,"2,976",156,41,104,11
Arkansas,Quitman,694,76,15,53,8
Arkansas,Ravenden,428,29,6,11,12
Arkansas,Redfield,"1,508",72,20,33,19
Arkansas,Rogers,"72,115","3,780",872,"2,254",654
Arkansas,Rose Bud,499,64,7,11,46
Arkansas,Russellville,"29,533","2,249",521,"1,089",639
Arkansas,Salem,"1,577",62,28,19,15
Arkansas,Searcy,"23,175","2,304",643,"1,421",240
Arkansas,Shannon Hills,"4,625",194,61,77,56
Arkansas,Sheridan,"5,073",332,92,135,105
Arkansas,Sherwood,"33,232","2,935",728,"1,559",648
Arkansas,Siloam Springs,"17,957","1,414",378,707,329
Arkansas,Springdale,"90,892","6,082","1,622","3,584",876
Arkansas,Stamps,"1,191",72,29,34,9
Arkansas,Star City,"2,284",205,75,104,26
Arkansas,Stuttgart,"7,847",968,366,492,110
Arkansas,Swifton,742,15,3,10,2
Arkansas,Texarkana,"29,339","3,378","1,412","1,636",330
Arkansas,Tontitown,"6,700",480,52,182,246
Arkansas,Trumann,"7,283",927,268,459,200
Arkansas,Tuckerman,"1,750",59,19,22,18
Arkansas,Turrell,498,13,0,4,9
Arkansas,Van Buren,"23,533","2,566",867,"1,333",366
Arkansas,Vilonia,"4,519",151,57,65,29
Arkansas,Waldron,"3,313",361,75,178,108
Arkansas,Walnut Ridge,"5,495",179,48,90,41
Arkansas,Ward,"6,621",455,172,209,74
Arkansas,Warren,"5,325",268,90,155,23
Arkansas,Weiner,631,21,1,18,2
Arkansas,West Fork,"2,330",290,44,77,169
Arkansas,West Memphis,"23,809","3,533","1,107","1,664",762
Arkansas,White Hall,"5,579",305,72,98,135
Arkansas,Wynne,"8,234",889,257,422,210
California,Alameda,"74,441","5,335",704,"4,256",375
California,Albany,"19,011",907,88,771,48
California,Alhambra,"79,703","4,504",601,"3,274",629
California,Aliso Viejo,"51,477",855,165,601,89
California,Anaheim,"344,795","23,847","4,613","14,603","4,631"
California,Anderson,"11,447","1,922",248,662,"1,012"
California,Antioch,"114,338","6,047","1,653","4,126",268
California,Arcadia,"54,202","2,855",307,"2,401",147
California,Arroyo Grande,"18,492",716,133,436,147
California,Atascadero,"29,679","1,563",362,858,343
California,Auburn,"13,933",723,204,422,97
California,Avenal,"13,873",360,117,156,87
California,Baldwin Park,"69,205","2,923",735,"1,883",305
California,Beaumont,"57,067","1,573",299,"1,037",237
California,Belmont,"26,277","1,143",153,777,213
California,Blythe,"17,853",998,275,503,220
California,Brea,"47,617","3,070",283,"2,291",496
California,Burbank,"103,516","7,855",797,"4,624","2,434"
California,Carlsbad,"115,531","5,023",799,"3,456",768
California,Carmel,"3,176",250,34,153,63
California,Chino,"94,611","6,294",771,"3,845","1,678"
California,Chula Vista,"277,976","9,457","2,333","5,823","1,301"
California,Citrus Heights,"86,896","4,624",805,"3,003",816
California,Clayton,"10,880",175,24,127,24
California,Clovis,"125,348","5,365",815,"3,448","1,102"
California,Colton,"54,597","2,930",642,"1,927",361
California,Concord,"122,982","8,158","1,758","5,224","1,176"
California,Corcoran,"22,609","1,133",365,638,130
California,Corning,"8,191",806,120,418,268
California,Coronado,"19,706",854,136,594,124
California,Covina,"49,590","3,406",494,"1,779","1,133"
California,Culver City,"39,271","4,004",472,"3,061",471
California,Cypress,"49,588","2,259",196,"1,456",607
California,Dana Point,"32,534","1,255",199,704,352
California,Davis,"66,939","3,533",453,"2,783",297
California,Delano,"52,484","2,618",481,"1,832",305
California,Del Mar,"3,891",244,36,182,26
California,Del Rey Oaks,"1,568",141,14,112,15
California,Dinuba,"25,650","1,998",574,"1,163",261
California,Dixon,"19,001",985,248,570,167
California,El Cajon,"104,693","5,641","1,262","2,940","1,439"
California,El Cerrito,"25,718","1,767",182,"1,505",80
California,Elk Grove,"180,372","4,911",726,"3,668",517
California,El Monte,"104,695","4,826","1,179","3,007",640
California,El Segundo,"16,550","1,590",169,"1,244",177
California,Emeryville,"12,781","2,860",296,"2,456",108
California,Encinitas,"61,488","2,666",414,"1,380",872
California,Escondido,"150,072","7,860","1,554","4,198","2,108"
California,Ferndale,"1,399",54,14,31,9
California,Fontana,"212,730","9,873","2,042","4,854","2,977"
California,Fort Bragg,"6,968",845,204,474,167
California,Fortuna,"12,481",755,216,390,149
California,Foster City,"31,389",974,168,733,73
California,Fresno,"546,871","45,748","10,793","31,711","3,244"
